Gender,Age,StudyHoursPerWeek,AttendancePercentage,PreviousGrade,SleepHours,Absences,ParentEducation,FamilyIncome,ExtracurricularActivities,InternetAccess,ExamScore,PassFail
Female,19,5.9,72.8,79.9,5.8,3,High School,44710,Yes,Yes,47.4,Fail
Male,18,8.2,52.7,64.0,5.8,8,Bachelor,59387,No,Yes,47.3,Fail
Male,21,21.2,78.3,84.1,6.3,3,Associate,130418,No,Yes,62.3,Pass
Male,19,10.1,70.3,64.5,7.5,4,Master,40623,Yes,Yes,49.6,Fail
Female,17,7.7,93.5,63.6,7.4,3,Bachelor,41806,Yes,Yes,66.4,Pass
Female,15,17.2,75.6,83.5,6.0,5,Master,132162,No,No,65.1,Pass
Female,20,21.1,64.6,63.6,5.6,6,High School,23521,No,Yes,46.5,Fail
Male,21,18.3,61.9,86.1,7.3,7,High School,30891,Yes,Yes,61.2,Pass
Male,21,20.0,80.0,50.0,6.8,7,Doctorate,100331,Yes,Yes,56.7,Pass
Male,22,9.5,76.1,77.5,9.6,3,Bachelor,40474,Yes,Yes,61.9,Pass
Female,17,5.5,77.7,91.0,7.0,3,Master,28687,Yes,Yes,72.1,Pass
Male,17,23.0,66.0,82.1,9.2,3,High School,116550,No,Yes,51.8,Pass
Male,16,12.1,83.1,41.9,5.6,3,Associate,106762,No,Yes,41.4,Fail
Female,21,12.5,93.0,59.1,5.1,7,Bachelor,106484,Yes,Yes,53.2,Pass
Female,16,22.0,50.5,64.6,5.7,4,High School,118475,Yes,Yes,51.6,Pass
Female,16,17.3,62.8,82.1,8.4,5,Bachelor,62291,Yes,Yes,54.4,Pass
Female,20,16.7,74.1,49.4,9.1,2,Associate,66296,Yes,Yes,56.6,Pass
Male,16,27.0,92.1,53.7,6.1,5,High School,58225,Yes,Yes,51.3,Pass
Female,19,10.1,94.5,45.5,6.4,6,High School,52828,No,Yes,35.5,Fail
Female,18,19.6,66.5,56.4,5.6,10,High School,51712,No,No,37.0,Fail
Male,15,14.3,95.6,50.5,4.8,2,High School,44823,No,No,54.9,Pass
Female,17,15.6,95.6,90.4,7.9,6,Bachelor,109374,No,Yes,78.2,Pass
Female,19,23.2,86.8,58.9,7.3,7,High School,98174,No,Yes,54.1,Pass
Female,15,17.0,78.2,77.7,7.0,3,High School,56052,Yes,Yes,57.9,Pass
Female,21,17.2,77.3,68.3,5.3,5,Master,41265,No,Yes,57.0,Pass
Male,21,20.4,76.1,68.1,9.0,2,Associate,108287,No,Yes,59.6,Pass
Female,21,11.8,63.9,59.7,6.4,4,Associate,60012,No,Yes,52.1,Pass
Male,19,9.0,67.5,78.8,7.6,3,Bachelor,28916,Yes,Yes,51.0,Pass
Male,19,7.7,68.7,70.2,5.3,3,Master,143462,Yes,Yes,60.5,Pass
Female,17,2.2,68.2,69.4,6.8,1,High School,93045,Yes,No,37.3,Fail
Male,18,26.3,55.7,59.7,7.3,6,Associate,107860,Yes,Yes,50.5,Pass
Female,22,7.4,94.9,62.0,7.4,3,Bachelor,60634,Yes,Yes,56.0,Pass
Female,16,12.7,74.6,76.2,7.2,7,Associate,113479,No,Yes,53.4,Pass
Male,21,12.3,61.9,71.2,7.6,6,Bachelor,92992,No,Yes,49.7,Fail
Male,20,15.8,48.8,69.7,5.6,3,Doctorate,29369,No,No,51.6,Pass
Male,18,18.9,88.4,57.4,7.2,3,Master,37329,Yes,Yes,61.5,Pass
Female,20,19.2,68.7,95.2,7.1,2,High School,104700,No,Yes,54.7,Pass
Female,17,10.5,78.5,61.3,7.3,4,High School,120960,No,Yes,49.0,Fail
Male,17,13.0,62.3,67.6,7.1,5,Doctorate,30410,Yes,No,57.5,Pass
Female,17,15.7,84.1,65.4,5.5,6,Associate,20684,Yes,Yes,60.8,Pass
Female,15,12.5,80.4,95.4,5.4,5,High School,37887,Yes,Yes,70.1,Pass
Male,20,23.6,44.6,63.9,4.3,1,Bachelor,64779,No,Yes,54.1,Pass
Female,18,16.9,88.1,62.6,8.0,8,High School,86095,Yes,Yes,59.4,Pass
Male,22,18.4,,69.7,8.0,8,High School,145510,Yes,Yes,56.2,Pass
Female,18,18.0,76.2,58.3,8.0,3,Master,119261,No,No,45.7,Fail
Male,19,21.0,70.4,69.6,7.4,6,High School,74068,Yes,Yes,59.4,Pass
Female,19,15.1,89.3,100.0,4.4,4,High School,36113,Yes,Yes,69.8,Pass
Male,21,6.2,81.4,72.2,5.8,3,High School,60861,No,Yes,48.3,Fail
Male,22,16.4,77.2,71.7,7.2,7,Bachelor,96487,No,Yes,54.0,Pass
Female,19,10.1,71.6,57.9,7.2,3,High School,43617,Yes,No,46.4,Fail
Male,17,10.8,79.2,91.9,6.7,4,Associate,116330,No,Yes,57.2,Pass
Male,18,17.5,93.6,95.1,7.4,7,Bachelor,44250,Yes,Yes,71.9,Pass
Male,20,21.4,83.4,79.9,7.0,4,Master,21055,No,Yes,60.9,Pass
Male,17,14.1,60.1,77.2,7.1,6,High School,90337,Yes,Yes,47.1,Fail
Male,15,15.9,76.6,64.7,6.2,5,Master,145615,Yes,Yes,51.0,Pass
Male,19,24.2,79.1,73.5,8.2,11,High School,120255,Yes,Yes,67.2,Pass
Female,17,15.4,77.6,56.3,6.5,3,Bachelor,78532,No,Yes,51.7,Pass
Female,17,29.6,73.7,52.2,5.4,4,Associate,107376,No,Yes,59.6,Pass
Female,15,17.4,75.7,47.2,6.1,2,High School,27933,No,Yes,40.0,Fail
Female,16,3.4,49.2,73.7,6.6,3,Bachelor,49979,No,Yes,44.0,Fail
Female,18,18.5,80.1,48.7,8.2,0,High School,63047,No,Yes,52.9,Pass
Female,20,16.3,66.5,61.0,6.9,5,High School,22137,Yes,No,53.1,Pass
Male,21,21.7,56.8,67.1,6.8,5,Associate,29423,No,Yes,47.7,Fail
Female,16,18.0,88.4,81.9,5.5,2,Bachelor,107851,Yes,No,62.3,Pass
Female,19,13.2,89.6,59.9,7.9,3,High School,52482,No,Yes,46.6,Fail
Male,17,6.7,73.0,83.6,6.2,6,High School,70483,Yes,Yes,51.0,Pass
Female,22,12.7,95.2,81.1,6.9,3,High School,52754,Yes,Yes,56.3,Pass
Male,15,,92.2,53.0,8.8,4,Associate,41363,No,Yes,40.8,Fail
Female,15,10.5,83.1,83.7,7.6,5,Associate,35085,Yes,Yes,60.6,Pass
Other,22,17.5,68.1,64.0,5.0,2,High School,74889,Yes,Yes,55.6,Pass
Male,18,24.0,78.2,61.0,4.9,4,High School,120090,Yes,Yes,49.5,Fail
Female,16,16.4,69.4,64.1,6.9,4,Associate,97951,Yes,Yes,49.9,Fail
Female,21,6.8,85.7,68.0,5.5,6,Bachelor,146227,No,Yes,49.0,Fail
Male,18,16.7,68.1,62.2,7.8,3,Bachelor,147925,No,Yes,61.3,Pass
Male,22,21.2,71.8,56.2,7.1,3,Master,74414,No,Yes,41.4,Fail
Male,17,10.3,82.7,57.5,7.2,5,High School,135159,Yes,Yes,50.0,Pass
Male,22,13.2,93.9,69.9,6.2,4,Doctorate,104934,Yes,Yes,67.7,Pass
Female,18,14.1,61.9,65.8,9.1,5,Associate,50691,Yes,Yes,47.8,Fail
Female,20,9.3,56.4,75.4,10.0,6,Doctorate,72697,No,Yes,51.8,Pass
Female,15,17.9,74.5,68.7,6.7,5,High School,21883,Yes,Yes,55.5,Pass
Male,15,13.3,81.9,69.1,7.4,1,Associate,49712,Yes,Yes,58.5,Pass
Male,19,16.5,84.8,76.3,7.1,5,Associate,131655,No,Yes,65.6,Pass
